Year,State,Ag District,County,yield,AWND,CDSD,CLDD,DP01,DP10,DP1X,DSND,DSNW,DT00,DT32,DX32,DX70,DX90,DYFG,DYHF,DYTS,EMNT,EMSD,EMSN,EMXP,EMXT,EVAP,FZF0,FZF1,FZF2,FZF3,FZF4,FZF5,FZF6,FZF7,FZF8,FZF9,HDSD,HN01,HN02,HTDD,HX01,HX02,LN01,LN02,LX01,LX02,MN01,MN02,MX01,MX02,PRCP,SNOW,TAVG,TMAX,TMIN,WDF2,WDF5,WDFG,WDMV,WSF2,WSF5,WSFG
2020,ILLINOIS,CENTRAL,DE WITT,201.6,,,,114.5,70.0,11.5,14.5,6.0,,,,,,10.0,,19.0,,95.5,95.5,69.35,,,,,,,,,,,,,,,,,,,,,,,,,,,1006.7,411.0,,,,,,,,,,
2020,ILLINOIS,CENTRAL,LOGAN,210.7,,549.5,549.5,112.0,71.75,8.0,11.66666667,5.333333333,1.0,122.0,18.0,161.0,25.0,32.0,,21.33333333,-21.1,76.0,79.66666667,73.325,34.4,,0.0,-2.8,-7.8,-7.8,-9.4,-1.1,-4.4,-4.4,-8.9,-8.9,3070.4,,,3070.4,,,,,,,,,,,950.74,345.6666667,11.64,17.41,5.86,,,,,,,
2020,ILLINOIS,CENTRAL,MACON,210.3,4.2,604.4,604.4,120.33333329999999,73.33333333,9.666666667000001,11.0,4.0,1.0,105.0,17.5,155.5,23.0,106.0,24.0,27.33333333,-19.1,76.0,79.0,52.06666667,33.85,,-0.5,-4.15,-5.55,-7.2,-11.9,-1.1,-3.0,-6.9,-8.0,-10.8,2993.2,,,2993.2,,,,,,,,,,,988.7666667000001,320.0,12.04,17.16,6.915,330.0,320.0,,,21.5,29.5,
2020,ILLINOIS,CENTRAL,MARSHALL,207.1,,,,103.0,61.0,9.0,10.0,9.0,,,,,,1.0,,,,76.0,76.0,45.7,,,,,,,,,,,,,,,,,,,,,,,,,,,834.3,425.0,,,,,,,,,,
2020,ILLINOIS,CENTRAL,MASON,195.6,,,,,,,,,,,,,,3.0,,15.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020,ILLINOIS,CENTRAL,MCLEAN,201.8,,523.4,523.4,112.2222222,67.88888889,10.33333333,18.0,6.666666667,2.0,138.0,25.0,157.0,28.0,30.33333333,,20.0,-22.2,82.5,83.0,73.94444444,36.1,,-0.6,-2.2,-6.1,-7.2,-10.6,-2.2,-2.2,-4.4,-12.2,-12.2,3192.8,,,3192.8,,,,,,,,,,,999.7,492.0,11.01,17.01,5.01,,,,,,,
2020,ILLINOIS,CENTRAL,MENARD,216.3,,612.0,612.0,104.5,70.5,6.5,,,2.0,121.0,16.0,162.0,21.0,,,,-21.1,,,68.2,33.9,,0.0,-4.4,-4.4,-7.8,-14.4,-0.6,-2.8,-8.9,-8.9,-8.9,,,,,,,,,,,,,,,894.0,,11.83,17.37,6.29,,,,,,,
2020,ILLINOIS,CENTRAL,PEORIA,214.7,3.3,614.2,614.2,110.8,66.4,8.8,31.5,9.5,2.0,120.0,22.0,152.0,24.0,82.5,18.0,25.0,-22.7,101.0,89.0,80.86,35.6,,-0.5,-3.2,-6.6,-7.1,-13.8,-1.0,-2.7,-10.5,-10.5,-10.5,3135.6,,,3135.6,,,,,,,,,,,950.64,617.0,11.63,16.92,6.35,220.0,210.0,,,15.7,26.4,
2020,ILLINOIS,CENTRAL,STARK,212.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020,ILLINOIS,CENTRAL,TAZEWELL,196.9,,,,113.25,64.0,9.5,24.0,9.0,,,,,,28.5,,19.0,,76.0,86.0,116.325,,,,,,,,,,,,,,,,,,,,,,,,,,,1002.4,528.0,,,,,,,,,,
2020,ILLINOIS,CENTRAL,WOODFORD,199.8,,584.3,584.3,108.0,67.5,9.75,,,2.0,134.0,22.0,152.0,24.0,4.0,,,-24.4,,,158.825,35.6,,0.0,-3.3,-7.2,-7.2,-10.0,-1.7,-4.4,-4.4,-6.7,-12.2,3229.6,,,3229.6,,,,,,,,,,,1062.75,,11.23,17.0,5.47,,,,,,,
2020,ILLINOIS,EAST,CHAMPAIGN,193.7,3.6,530.275,530.275,116.6923077,73.23076923,9.615384615,11.0,5.5,2.0,128.5,18.75,155.25,16.75,94.8,33.0,23.33333333,-21.15,76.0,78.0,72.70769231,34.075,512.5,-1.425,-2.725,-5.25,-7.175,-11.55,-1.725,-3.05,-5.075,-7.9,-10.225,3158.2,24.4,25.0,3158.2,31.7,27.2,-1.7,-1.7,-0.6,-1.7,10.8,11.2,14.3,13.0,1046.933333,363.75,11.335,16.985,5.685,320.0,180.0,270.0,,19.7,30.4,22.8
2020,ILLINOIS,EAST,FORD,192.3,,454.0,454.0,85.0,70.0,7.0,14.0,6.0,2.0,136.0,28.0,151.0,11.0,,,,-21.1,102.0,102.0,52.1,33.9,,-2.8,-2.8,-7.2,-7.2,-8.9,-3.3,-3.3,-4.4,-6.7,-9.4,3391.8,,,3391.8,,,,,,,,,,,883.8,304.0,10.49,16.15,4.83,,,,,,,
2020,ILLINOIS,EAST,IROQUOIS,191.2,,,,122.5,68.0,6.0,,,,,,,,,,,,,,64.0,,,,,,,,,,,,,,,,,,,,,,,,,,,834.7,,,,,,,,,,,
2020,ILLINOIS,EAST,KANKAKEE,173.1,,552.4,552.4,109.8,69.2,8.8,23.33333333,7.333333333,1.0,128.0,16.0,149.0,21.0,59.0,,9.5,-21.7,97.33333333,92.33333333,87.04,34.4,,-0.6,-5.0,-5.0,-6.7,-13.9,-1.7,-2.8,-5.0,-8.9,-8.9,3062.7,,,3062.7,,,,,,,,,,,973.2,537.0,11.28,16.56,6.0,,,,,,,
2020,ILLINOIS,EAST,LIVINGSTON,182.4,,578.8,578.8,109.0,68.5,11.5,17.0,7.0,1.0,115.0,26.0,138.0,16.0,11.0,,5.0,-18.9,84.66666667,85.5,74.15,37.8,,0.0,-6.1,-6.1,-11.1,-11.1,0.0,-2.2,-8.3,-8.3,-9.4,3316.6,,,3316.6,,,,,,,,,,,1007.6,403.5,11.34,15.85,6.82,,,,,,,
2020,ILLINOIS,EAST,PIATT,211.7,,,,113.66666670000001,70.66666667,8.333333332999999,11.0,4.0,,,,,,43.0,,21.0,,76.0,79.0,47.33333333,,,,,,,,,,,,,,,,,,,,,,,,,,,918.1333332999999,320.0,,,,,,,,,,
2020,ILLINOIS,EAST,VERMILION,191.0,,546.6666667000001,546.6666667000001,125.2857143,78.71428571,11.71428571,13.0,4.0,1.333333333,119.0,16.66666667,158.33333330000002,17.66666667,64.0,,30.0,-21.63333333,76.0,86.0,66.58571429,34.06666667,,-1.3,-2.4,-7.033333333,-7.966666667,-10.0,-2.0333333330000003,-2.6,-5.0,-7.066666667000001,-10.53333333,3059.166667,,,3059.166667,,,,,,,,,,,1095.385714,314.0,11.63,17.18666667,6.0766666670000005,,,,,,,
2020,ILLINOIS,EAST SOUTHEAST,CLARK,200.4,,655.7,655.7,108.0,78.0,16.0,2.0,1.0,0.0,116.0,10.0,167.0,30.0,17.0,,10.0,-17.2,25.0,25.0,102.1,35.0,,-1.1,-2.8,-5.6,-7.2,-13.3,-1.1,-2.2,-5.0,-7.2,-11.7,2839.3,,,2839.3,,,,,,,,,,,1257.7,45.0,12.51,18.45,6.57,,,,,,,
2020,ILLINOIS,EAST SOUTHEAST,CLAY,170.6,,715.1,715.1,117.0,83.5,17.5,1.0,1.0,0.0,99.0,7.0,169.0,43.0,16.0,,10.0,-15.0,25.0,25.0,94.5,36.7,,-1.1,-3.9,-5.0,-7.2,-13.3,-0.6,-3.3,-6.7,-6.7,-10.6,2709.9,,,2709.9,,,,,,,,,,,1450.0,25.0,13.13,19.1,7.16,,,,,,,
2020,ILLINOIS,EAST SOUTHEAST,COLES,203.8,3.8,643.1,643.1,118.0,70.0,15.0,5.0,3.0,1.0,100.0,11.5,160.0,21.0,69.0,27.0,17.0,-18.2,51.0,38.0,90.7,34.75,,-0.5,-3.8,-4.9,-11.0,-11.0,-0.5,-3.8,-7.7,-7.7,-9.9,2852.1,,,2852.1,,,,,,,,,,,1285.1,135.0,12.49,18.17,7.39,320.0,330.0,,,23.7,30.9,
2020,ILLINOIS,EAST SOUTHEAST,CRAWFORD,180.1,,674.9,674.9,115.0,75.0,15.0,,,0.0,118.0,12.0,163.0,36.0,12.0,,5.0,-15.6,,,73.4,35.0,,-0.6,-2.2,-5.6,-6.7,-12.2,0.0,-3.3,-5.0,-6.7,-9.4,2869.7,,,2869.7,,,,,,,,,,,1243.2,,12.47,18.32,6.61,,,,,,,
2020,ILLINOIS,EAST SOUTHEAST,CUMBERLAND,186.8,,655.7,655.7,108.0,78.0,16.0,2.0,1.0,0.0,116.0,10.0,167.0,30.0,17.0,,10.0,-17.2,25.0,25.0,102.1,35.0,,-1.1,-2.8,-5.6,-7.2,-13.3,-1.1,-2.2,-5.0,-7.2,-11.7,2839.3,,,2839.3,,,,,,,,,,,1257.7,45.0,12.51,18.45,6.57,,,,,,,
2020,ILLINOIS,EAST SOUTHEAST,DOUGLAS,206.8,,586.5,586.5,112.0,72.0,13.0,8.0,5.0,2.0,122.0,19.0,154.0,17.0,14.0,,32.0,-19.4,51.0,76.0,69.3,33.3,,0.0,-5.6,-5.6,-6.7,-13.9,0.0,-3.3,-7.2,-7.2,-9.4,3085.0,,,3085.0,,,,,,,,,,,1102.4,262.0,11.75,16.89,6.6,,,,,,,
2020,ILLINOIS,EAST SOUTHEAST,EDGAR,189.9,,474.3,474.3,107.0,65.0,13.0,6.0,1.0,2.0,125.0,16.0,156.0,7.0,9.0,,2.0,-18.9,25.0,30.0,97.5,32.8,,-0.6,-2.2,-5.0,-6.7,-13.9,0.0,-2.2,-5.0,-7.2,-11.7,3073.2,,,3073.2,,,,,,,,,,,1281.55,68.0,11.24,16.77,5.7,,,,,,,
2020,ILLINOIS,EAST SOUTHEAST,EFFINGHAM,191.8,,,,112.66666670000001,77.66666667,13.33333333,2.0,2.0,,,,,,2.5,,4.0,,51.0,38.0,85.6,,,,,,,,,,,,,,,,,,,,,,,,,,,1222.333333,66.0,,,,,,,,,,
2020,ILLINOIS,EAST SOUTHEAST,FAYETTE,182.8,,532.4,532.4,112.0,76.0,17.0,10.0,3.0,2.0,119.0,16.0,161.0,15.0,64.0,,25.0,-17.8,51.0,36.0,91.9,33.3,,-2.2,-2.2,-6.1,-6.7,-13.9,-1.7,-2.2,-4.4,-7.8,-17.8,3057.6,,,3057.6,,,,,,,,,,,1213.8,166.0,11.62,17.25,5.99,,,,,,,
2020,ILLINOIS,EAST SOUTHEAST,JASPER,177.7,,645.8,645.8,119.0,80.0,14.0,1.0,1.0,0.0,97.0,10.0,161.0,15.0,11.0,,37.0,-15.0,25.0,28.0,63.5,33.3,,0.0,-2.2,-4.4,-6.7,-10.0,0.0,-3.3,-5.0,-6.7,-10.6,2709.9,,,2709.9,,,,,,,,,,,1240.45,62.0,12.9,18.03,7.76,,,,,,,
2020,ILLINOIS,EAST SOUTHEAST,LAWRENCE,171.3,,,,116.75,76.25,16.0,1.0,0.0,,,,,,64.33333333,29.0,24.5,,25.0,23.0,100.95,,,,,,,,,,,,,,,,,,,,,,,,,,,1342.3,37.0,,,,,,,,,,
2020,ILLINOIS,EAST SOUTHEAST,MARION,185.1,,701.15,701.15,121.0,76.5,15.5,,,0.0,99.0,10.0,167.5,28.5,19.0,,22.0,-15.25,,,64.8,34.7,,-1.15,-3.6,-4.7,-10.55,-10.55,-0.85,-3.3,-5.85,-8.05,-9.7,2639.75,27.8,,2639.75,32.2,,0.6,,0.6,,13.5,,17.0,,1212.4,,12.965,18.535,7.395,,,,,,,
2020,ILLINOIS,EAST SOUTHEAST,MOULTRIE,204.0,,698.2,698.2,101.5,65.0,11.0,7.0,2.5,2.0,106.0,17.0,165.0,28.0,16.0,,6.0,-18.9,63.5,53.0,78.35,35.0,,-1.7,-2.2,-5.0,-7.2,-16.1,-1.1,-3.9,-4.4,-8.3,-10.6,2983.7,,,2983.7,,,,,,,,,,,1131.7,127.0,12.36,17.83,6.88,,,,,,,
2020,ILLINOIS,EAST SOUTHEAST,RICHLAND,167.2,,630.4,630.4,123.0,85.0,14.0,2.0,0.0,0.0,103.0,12.0,166.0,23.0,,,,-14.4,25.0,13.0,89.7,34.4,,-0.6,-5.6,-5.6,-7.8,-12.2,-0.6,-3.3,-5.6,-6.7,-10.0,2763.0,,,2763.0,,,,,,,,,,,1355.5,37.0,12.68,18.41,6.96,,,,,,,
2020,ILLINOIS,EAST SOUTHEAST,SHELBY,194.9,,604.2,604.2,106.83333329999999,76.5,13.66666667,7.666666667,2.0,2.0,113.0,16.5,159.5,22.0,17.0,,8.25,-18.35,42.33333333,37.33333333,88.98333333,33.85,,-2.2,-2.75,-5.0,-6.95,-13.85,-1.15,-2.75,-6.95,-6.95,-11.7,2911.3666670000002,,,2911.3666670000002,,,,,,,,,,,1224.55,107.66666670000001,12.09,17.585,6.59,,,,,,,
2020,ILLINOIS,NORTHEAST,BOONE,193.2,,,,106.0,70.0,10.5,45.0,10.0,,,,,,,,,,152.0,127.0,56.4,,,,,,,,,,,,,,,,,,,,,,,,,,,942.7,621.0,,,,,,,,,,
2020,ILLINOIS,NORTHEAST,DE KALB,191.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020,ILLINOIS,NORTHEAST,GRUNDY,185.0,,610.1,610.1,119.16666670000001,70.33333333,7.666666667,33.5,10.5,2.0,138.0,21.0,152.0,22.0,8.0,,7.0,-21.7,114.5,118.5,64.48333333,35.0,,-0.6,-2.2,-5.0,-7.2,-12.2,-1.1,-4.4,-4.4,-7.8,-10.6,3332.7,,,3332.7,,,,,,,,,,,965.8571429,711.0,11.12,16.47,5.77,,,,,,,
2020,ILLINOIS,NORTHEAST,KANE,176.8,4.0,472.96666669999996,472.96666669999996,118.41666670000001,69.91666667,10.5,31.6,11.66666667,2.333333333,146.66666669999998,27.0,145.33333330000002,16.66666667,78.5,12.0,25.0,-22.73333333,104.2,96.0,76.425,34.23333333,,-0.36666666700000006,-2.5333333330000003,-4.766666667,-8.1,-11.8,-0.7333333329999999,-2.933333333,-5.133333333,-8.3,-11.1,3513.3,,,3513.3,,,,,,,,,,,1029.333333,755.3333332999999,10.23,15.71333333,4.7466666669999995,320.0,260.0,,,21.0,35.3,
2020,ILLINOIS,NORTHEAST,KENDALL,183.1,,,,119.5,74.5,7.0,33.0,14.0,,,,,,,,,,127.0,142.0,73.05,,,,,,,,,,,,,,,,,,,,,,,,,,,969.65,964.0,,,,,,,,,,
