Year,Period,State,State ANSI,Ag District,Ag District Code,County,County ANSI,Commodity,Data Item,Value
2020,MARKETING YEAR,ILLINOIS,17,,,,,CORN,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",4.35
2020,MARKETING YEAR,ILLINOIS,17,,,,,SOYBEANS,"SOYBEANS - PRICE RECEIVED, MEASURED IN $ / BU",11.6
2020,MARKETING YEAR,ILLINOIS,17,,,,,WHEAT,"WHEAT, WINTER - PRICE RECEIVED, MEASURED IN $ / BU",5.39
2019,MARKETING YEAR,ILLINOIS,17,,,,,CORN,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",3.55
2019,MARKETING YEAR,ILLINOIS,17,,,,,SOYBEANS,"SOYBEANS - PRICE RECEIVED, MEASURED IN $ / BU",8.84
2019,MARKETING YEAR,ILLINOIS,17,,,,,WHEAT,"WHEAT, WINTER - PRICE RECEIVED, MEASURED IN $ / BU",5.06
2018,MARKETING YEAR,ILLINOIS,17,,,,,CORN,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",3.62
2018,MARKETING YEAR,ILLINOIS,17,,,,,SOYBEANS,"SOYBEANS - PRICE RECEIVED, MEASURED IN $ / BU",8.74
2018,MARKETING YEAR,ILLINOIS,17,,,,,WHEAT,"WHEAT, WINTER - PRICE RECEIVED, MEASURED IN $ / BU",4.77
2017,MARKETING YEAR,ILLINOIS,17,,,,,CORN,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",3.41
2017,MARKETING YEAR,ILLINOIS,17,,,,,SOYBEANS,"SOYBEANS - PRICE RECEIVED, MEASURED IN $ / BU",9.6
2017,MARKETING YEAR,ILLINOIS,17,,,,,WHEAT,"WHEAT, WINTER - PRICE RECEIVED, MEASURED IN $ / BU",4.59
2016,MARKETING YEAR,ILLINOIS,17,,,,,CORN,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",3.43
2016,MARKETING YEAR,ILLINOIS,17,,,,,SOYBEANS,"SOYBEANS - PRICE RECEIVED, MEASURED IN $ / BU",9.78
2016,MARKETING YEAR,ILLINOIS,17,,,,,WHEAT,"WHEAT, WINTER - PRICE RECEIVED, MEASURED IN $ / BU",4.09
2015,MARKETING YEAR,ILLINOIS,17,,,,,CORN,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",3.69
2015,MARKETING YEAR,ILLINOIS,17,,,,,SOYBEANS,"SOYBEANS - PRICE RECEIVED, MEASURED IN $ / BU",9.19
2015,MARKETING YEAR,ILLINOIS,17,,,,,WHEAT,"WHEAT, WINTER - PRICE RECEIVED, MEASURED IN $ / BU",3.85
2014,MARKETING YEAR,ILLINOIS,17,,,,,CORN,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",3.71
2014,MARKETING YEAR,ILLINOIS,17,,,,,SOYBEANS,"SOYBEANS - PRICE RECEIVED, MEASURED IN $ / BU",10.2
2014,MARKETING YEAR,ILLINOIS,17,,,,,WHEAT,"WHEAT, WINTER - PRICE RECEIVED, MEASURED IN $ / BU",4.98
2013,MARKETING YEAR,ILLINOIS,17,,,,,CORN,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",4.52
2013,MARKETING YEAR,ILLINOIS,17,,,,,SOYBEANS,"SOYBEANS - PRICE RECEIVED, MEASURED IN $ / BU",13.2
2013,MARKETING YEAR,ILLINOIS,17,,,,,WHEAT,"WHEAT, WINTER - PRICE RECEIVED, MEASURED IN $ / BU",6.52
2012,MARKETING YEAR,ILLINOIS,17,,,,,CORN,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",6.87
2012,MARKETING YEAR,ILLINOIS,17,,,,,SOYBEANS,"SOYBEANS - PRICE RECEIVED, MEASURED IN $ / BU",14.6
2012,MARKETING YEAR,ILLINOIS,17,,,,,WHEAT,"WHEAT, WINTER - PRICE RECEIVED, MEASURED IN $ / BU",7.13
2011,MARKETING YEAR,ILLINOIS,17,,,,,CORN,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",6.25
2011,MARKETING YEAR,ILLINOIS,17,,,,,SOYBEANS,"SOYBEANS - PRICE RECEIVED, MEASURED IN $ / BU",12.8
2011,MARKETING YEAR,ILLINOIS,17,,,,,WHEAT,"WHEAT, WINTER - PRICE RECEIVED, MEASURED IN $ / BU",6.55
2010,MARKETING YEAR,ILLINOIS,17,,,,,CORN,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",5.24
2010,MARKETING YEAR,ILLINOIS,17,,,,,SOYBEANS,"SOYBEANS - PRICE RECEIVED, MEASURED IN $ / BU",11.8
2010,MARKETING YEAR,ILLINOIS,17,,,,,WHEAT,"WHEAT, WINTER - PRICE RECEIVED, MEASURED IN $ / BU",5.52
2009,MARKETING YEAR,ILLINOIS,17,,,,,CORN,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",3.53
2009,MARKETING YEAR,ILLINOIS,17,,,,,SOYBEANS,"SOYBEANS - PRICE RECEIVED, MEASURED IN $ / BU",9.8
2009,MARKETING YEAR,ILLINOIS,17,,,,,WHEAT,"WHEAT, WINTER - PRICE RECEIVED, MEASURED IN $ / BU",4.04
2008,MARKETING YEAR,ILLINOIS,17,,,,,CORN,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",4.01
2008,MARKETING YEAR,ILLINOIS,17,,,,,SOYBEANS,"SOYBEANS - PRICE RECEIVED, MEASURED IN $ / BU",10.2
2008,MARKETING YEAR,ILLINOIS,17,,,,,WHEAT,"WHEAT, WINTER - PRICE RECEIVED, MEASURED IN $ / BU",5.89
2007,MARKETING YEAR,ILLINOIS,17,,,,,CORN,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",4.09
2007,MARKETING YEAR,ILLINOIS,17,,,,,SOYBEANS,"SOYBEANS - PRICE RECEIVED, MEASURED IN $ / BU",10.4
2007,MARKETING YEAR,ILLINOIS,17,,,,,WHEAT,"WHEAT, WINTER - PRICE RECEIVED, MEASURED IN $ / BU",5.37
2006,MARKETING YEAR,ILLINOIS,17,,,,,CORN,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",3.07
2006,MARKETING YEAR,ILLINOIS,17,,,,,SOYBEANS,"SOYBEANS - PRICE RECEIVED, MEASURED IN $ / BU",6.68
2006,MARKETING YEAR,ILLINOIS,17,,,,,WHEAT,"WHEAT, WINTER - PRICE RECEIVED, MEASURED IN $ / BU",3.4
2005,MARKETING YEAR,ILLINOIS,17,,,,,CORN,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",2.08
2005,MARKETING YEAR,ILLINOIS,17,,,,,SOYBEANS,"SOYBEANS - PRICE RECEIVED, MEASURED IN $ / BU",5.76
2005,MARKETING YEAR,ILLINOIS,17,,,,,WHEAT,"WHEAT, WINTER - PRICE RECEIVED, MEASURED IN $ / BU",3.24
2004,MARKETING YEAR,ILLINOIS,17,,,,,CORN,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",2.14
2004,MARKETING YEAR,ILLINOIS,17,,,,,SOYBEANS,"SOYBEANS - PRICE RECEIVED, MEASURED IN $ / BU",5.84
2004,MARKETING YEAR,ILLINOIS,17,,,,,WHEAT,"WHEAT, WINTER - PRICE RECEIVED, MEASURED IN $ / BU",3.19
2003,MARKETING YEAR,ILLINOIS,17,,,,,CORN,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",2.42
2003,MARKETING YEAR,ILLINOIS,17,,,,,SOYBEANS,"SOYBEANS - PRICE RECEIVED, MEASURED IN $ / BU",7.51
2003,MARKETING YEAR,ILLINOIS,17,,,,,WHEAT,"WHEAT, WINTER - PRICE RECEIVED, MEASURED IN $ / BU",3.2
2002,MARKETING YEAR,ILLINOIS,17,,,,,CORN,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",2.35
2002,MARKETING YEAR,ILLINOIS,17,,,,,SOYBEANS,"SOYBEANS - PRICE RECEIVED, MEASURED IN $ / BU",5.66
2002,MARKETING YEAR,ILLINOIS,17,,,,,WHEAT,"WHEAT, WINTER - PRICE RECEIVED, MEASURED IN $ / BU",3.01
2001,MARKETING YEAR,ILLINOIS,17,,,,,CORN,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",2.04
2001,MARKETING YEAR,ILLINOIS,17,,,,,SOYBEANS,"SOYBEANS - PRICE RECEIVED, MEASURED IN $ / BU",4.55
2001,MARKETING YEAR,ILLINOIS,17,,,,,WHEAT,"WHEAT, WINTER - PRICE RECEIVED, MEASURED IN $ / BU",2.49
2000,MARKETING YEAR,ILLINOIS,17,,,,,CORN,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",1.91
2000,MARKETING YEAR,ILLINOIS,17,,,,,SOYBEANS,"SOYBEANS - PRICE RECEIVED, MEASURED IN $ / BU",4.62
2000,MARKETING YEAR,ILLINOIS,17,,,,,WHEAT,"WHEAT, WINTER - PRICE RECEIVED, MEASURED IN $ / BU",2.09
