Year,State,Ag District,County,yield,price_received,CDSD,CLDD,DP01,DP10,DP1X,DSND,DSNW,DT00,DT32,DX32,DX70,DX90,DYFG,DYTS,EMNT,EMSD,EMSN,EMXP,EMXT,FZF0,FZF1,FZF2,FZF3,FZF4,FZF5,FZF6,FZF7,FZF8,FZF9,HDSD,HTDD,PRCP,SNOW,TAVG,TMAX,TMIN,NDVI,EVI,GPP,SSM_0,SSM_10,SSM_40,SSM_100,NDWI
2020,ILLINOIS,CENTRAL,DE WITT,201.6,4.35,589.3621693,589.3621693,114.5,70,11.5,14.5,6,1.748677249,120.1362434,18.98046875,157.1770833,21.79296875,10,19,-19.81521164,95.5,95.5,69.35,34.45807292,-0.763492064,-3.517063492,-5.615873016,-7.593121693,-11.43716931,-1.135978836,-3.150925926,-5.930687831,-8.253306878,-10.85449735,3070.945115,3070.945115,1006.7,411,11.71603175,17.24811198,6.222010582,0.317846196,0.191259149,360.6980385,0.300986825,0.316133177,0.269310228,0.376406363,-0.00375058
2020,ILLINOIS,CENTRAL,LOGAN,210.7,4.35,549.5,549.5,112,71.75,8,11.66666667,5.333333333,1,122,18,161,25,32,21.33333333,-21.1,76,79.66666667,73.325,34.4,0,-2.8,-7.8,-7.8,-9.4,-1.1,-4.4,-4.4,-8.9,-8.9,3070.4,3070.4,950.74,345.6666667,11.64,17.41,5.86,0.316894739,0.184477642,377.9157507,0.299633103,0.30728448,0.268694398,0.378176028,-0.00096896
2020,ILLINOIS,CENTRAL,MACON,210.3,4.35,604.4,604.4,120.3333333,73.33333333,9.666666667,11,4,1,105,17.5,155.5,23,106,27.33333333,-19.1,76,79,52.06666667,33.85,-0.5,-4.15,-5.55,-7.2,-11.9,-1.1,-3,-6.9,-8,-10.8,2993.2,2993.2,988.7666667,320,12.04,17.16,6.915,0.338520966,0.189933964,361.1522254,0.308229123,0.318269935,0.279943931,0.380197901,-0.006320862
2020,ILLINOIS,CENTRAL,MARSHALL,207.1,4.35,589.3621693,589.3621693,103,61,9,10,9,1.748677249,120.1362434,18.98046875,157.1770833,21.79296875,1,17.35382514,-19.81521164,76,76,45.7,34.45807292,-0.763492064,-3.517063492,-5.615873016,-7.593121693,-11.43716931,-1.135978836,-3.150925926,-5.930687831,-8.253306878,-10.85449735,3070.945115,3070.945115,834.3,425,11.71603175,17.24811198,6.222010582,0.339980268,0.21725225,388.3537568,0.304409933,0.315634806,0.269313036,0.373770397,0.009399029
2020,ILLINOIS,CENTRAL,MASON,195.6,4.35,589.3621693,589.3621693,111.3228601,72.71254673,11.30263052,18.32830688,6.363383838,1.748677249,120.1362434,18.98046875,157.1770833,21.79296875,3,15,-19.81521164,86.53492064,87.00984849,72.61266105,34.45807292,-0.763492064,-3.517063492,-5.615873016,-7.593121693,-11.43716931,-1.135978836,-3.150925926,-5.930687831,-8.253306878,-10.85449735,3070.945115,3070.945115,1085.471214,406.9045455,11.71603175,17.24811198,6.222010582,0.346301363,0.208116542,428.6112006,0.297453861,0.30736261,0.262265969,0.370017995,0.001526179
2020,ILLINOIS,CENTRAL,MCLEAN,201.8,4.35,523.4,523.4,112.2222222,67.88888889,10.33333333,18,6.666666667,2,138,25,157,28,30.33333333,20,-22.2,82.5,83,73.94444444,36.1,-0.6,-2.2,-6.1,-7.2,-10.6,-2.2,-2.2,-4.4,-12.2,-12.2,3192.8,3192.8,999.7,492,11.01,17.01,5.01,0.312343246,0.188019981,367.9643874,0.295232419,0.315134126,0.265182727,0.374144932,0.001857079
2020,ILLINOIS,CENTRAL,MENARD,216.3,4.35,612,612,104.5,70.5,6.5,18.32830688,6.363383838,2,121,16,162,21,27.25252525,17.35382514,-21.1,86.53492064,87.00984849,68.2,33.9,0,-4.4,-4.4,-7.8,-14.4,-0.6,-2.8,-8.9,-8.9,-8.9,3070.945115,3070.945115,894,406.9045455,11.83,17.37,6.29,0.362910088,0.206257101,431.1761233,0.291595152,0.302031066,0.268079748,0.381151139,0.003517145
2020,ILLINOIS,CENTRAL,PEORIA,214.7,4.35,614.2,614.2,110.8,66.4,8.8,31.5,9.5,2,120,22,152,24,82.5,25,-22.7,101,89,80.86,35.6,-0.5,-3.2,-6.6,-7.1,-13.8,-1,-2.7,-10.5,-10.5,-10.5,3135.6,3135.6,950.64,617,11.63,16.92,6.35,0.407459717,0.230024369,454.5972624,0.308844579,0.320367327,0.272321036,0.374064904,0.014178316
2020,ILLINOIS,CENTRAL,STARK,212.4,4.35,589.3621693,589.3621693,111.3228601,72.71254673,11.30263052,18.32830688,6.363383838,1.748677249,120.1362434,18.98046875,157.1770833,21.79296875,27.25252525,17.35382514,-19.81521164,86.53492064,87.00984849,72.61266105,34.45807292,-0.763492064,-3.517063492,-5.615873016,-7.593121693,-11.43716931,-1.135978836,-3.150925926,-5.930687831,-8.253306878,-10.85449735,3070.945115,3070.945115,1085.471214,406.9045455,11.71603175,17.24811198,6.222010582,0.316572278,0.195218452,364.2942488,0.310402647,0.321321075,0.266035198,0.372703652,0.008544297
2020,ILLINOIS,CENTRAL,TAZEWELL,196.9,4.35,589.3621693,589.3621693,113.25,64,9.5,24,9,1.748677249,120.1362434,18.98046875,157.1770833,21.79296875,28.5,19,-19.81521164,76,86,116.325,34.45807292,-0.763492064,-3.517063492,-5.615873016,-7.593121693,-11.43716931,-1.135978836,-3.150925926,-5.930687831,-8.253306878,-10.85449735,3070.945115,3070.945115,1002.4,528,11.71603175,17.24811198,6.222010582,0.36116553,0.218314455,429.9108158,0.296618738,0.31097573,0.264220332,0.37046392,0.008354373
