yield,price_received,CDSD,CLDD,DP01,DP10,DP1X,DSND,DSNW,DT00,DT32,DX32,DX70,DX90,DYFG,DYTS,EMNT,EMSD,EMSN,EMXP,EMXT,FZF0,FZF1,FZF2,FZF3,FZF4,FZF5,FZF6,FZF7,FZF8,FZF9,HDSD,HTDD,PRCP,SNOW,TAVG,TMAX,TMIN,NDVI,EVI
65.3,11.6,590.665322582258,590.665322582258,114.5,70.0,11.5,14.5,6.0,1.6760752688064515,119.35618279677419,18.529100529047618,157.58597883492064,21.636243386349207,10.0,19.0,-19.615053763387092,95.5,95.5,69.35,34.40449735444446,-0.7598118279677424,-3.5137096774193552,-5.592473118290323,-7.592607526903224,-11.433602150548387,-1.1275537634193553,-3.1319892472903232,-5.922715053774194,-8.211962365596774,-10.81075268822581,3052.657017561404,3052.657017561404,1006.7,411.0,11.766706989145167,17.304682539682535,6.2663440860483846,0.317846196,0.191259149
67.6,11.6,549.5,549.5,112.0,71.75,8.0,11.66666667,5.333333333,1.0,122.0,18.0,161.0,25.0,32.0,21.33333333,-21.1,76.0,79.66666667,73.325,34.4,0.0,-2.8,-7.8,-7.8,-9.4,-1.1,-4.4,-4.4,-8.9,-8.9,3070.4,3070.4,950.74,345.6666667,11.64,17.41,5.86,0.316894739,0.184477642
65.1,11.6,604.4,604.4,120.3333333,73.33333333,9.666666667000001,11.0,4.0,1.0,105.0,17.5,155.5,23.0,106.0,27.33333333,-19.1,76.0,79.0,52.06666667,33.85,-0.5,-4.15,-5.55,-7.2,-11.9,-1.1,-3.0,-6.9,-8.0,-10.8,2993.2,2993.2,988.7666667,320.0,12.04,17.16,6.915,0.33852096600000003,0.18993396399999998
62.1,11.6,590.665322582258,590.665322582258,103.0,61.0,9.0,10.0,9.0,1.6760752688064515,119.35618279677419,18.529100529047618,157.58597883492064,21.636243386349207,1.0,17.467514124067797,-19.615053763387092,76.0,76.0,45.7,34.40449735444446,-0.7598118279677424,-3.5137096774193552,-5.592473118290323,-7.592607526903224,-11.433602150548387,-1.1275537634193553,-3.1319892472903232,-5.922715053774194,-8.211962365596774,-10.81075268822581,3052.657017561404,3052.657017561404,834.3,425.0,11.766706989145167,17.304682539682535,6.2663440860483846,0.339980268,0.21725225
60.2,11.6,590.665322582258,590.665322582258,111.60428871277108,73.1034466027711,11.402877357204817,17.53521505382258,6.142051282107693,1.6760752688064515,119.35618279677419,18.529100529047618,157.58597883492064,21.636243386349207,3.0,15.0,-19.615053763387092,84.25322580741935,84.78692307738461,72.67776625843373,34.40449735444446,-0.7598118279677424,-3.5137096774193552,-5.592473118290323,-7.592607526903224,-11.433602150548387,-1.1275537634193553,-3.1319892472903232,-5.922715053774194,-8.211962365596774,-10.81075268822581,3052.657017561404,3052.657017561404,1093.6986275882352,393.04153846307696,11.766706989145167,17.304682539682535,6.2663440860483846,0.346301363,0.208116542
62.8,11.6,523.4,523.4,112.2222222,67.88888889,10.33333333,18.0,6.666666667,2.0,138.0,25.0,157.0,28.0,30.33333333,20.0,-22.2,82.5,83.0,73.94444444,36.1,-0.6,-2.2,-6.1,-7.2,-10.6,-2.2,-2.2,-4.4,-12.2,-12.2,3192.8,3192.8,999.7,492.0,11.01,17.01,5.01,0.312343246,0.188019981
66.2,11.6,612.0,612.0,104.5,70.5,6.5,17.53521505382258,6.142051282107693,2.0,121.0,16.0,162.0,21.0,27.772916666671875,17.467514124067797,-21.1,84.25322580741935,84.78692307738461,68.2,33.9,0.0,-4.4,-4.4,-7.8,-14.4,-0.6,-2.8,-8.9,-8.9,-8.9,3052.657017561404,3052.657017561404,894.0,393.04153846307696,11.83,17.37,6.29,0.36291008799999996,0.20625710100000003
64.1,11.6,614.2,614.2,110.8,66.4,8.8,31.5,9.5,2.0,120.0,22.0,152.0,24.0,82.5,25.0,-22.7,101.0,89.0,80.86,35.6,-0.5,-3.2,-6.6,-7.1,-13.8,-1.0,-2.7,-10.5,-10.5,-10.5,3135.6,3135.6,950.64,617.0,11.63,16.92,6.35,0.40745971700000005,0.23002436899999998
61.9,11.6,590.665322582258,590.665322582258,111.60428871277108,73.1034466027711,11.402877357204817,17.53521505382258,6.142051282107693,1.6760752688064515,119.35618279677419,18.529100529047618,157.58597883492064,21.636243386349207,27.772916666671875,17.467514124067797,-19.615053763387092,84.25322580741935,84.78692307738461,72.67776625843373,34.40449735444446,-0.7598118279677424,-3.5137096774193552,-5.592473118290323,-7.592607526903224,-11.433602150548387,-1.1275537634193553,-3.1319892472903232,-5.922715053774194,-8.211962365596774,-10.81075268822581,3052.657017561404,3052.657017561404,1093.6986275882352,393.04153846307696,11.766706989145167,17.304682539682535,6.2663440860483846,0.316572278,0.195218452
62.8,11.6,590.665322582258,590.665322582258,113.25,64.0,9.5,24.0,9.0,1.6760752688064515,119.35618279677419,18.529100529047618,157.58597883492064,21.636243386349207,28.5,19.0,-19.615053763387092,76.0,86.0,116.325,34.40449735444446,-0.7598118279677424,-3.5137096774193552,-5.592473118290323,-7.592607526903224,-11.433602150548387,-1.1275537634193553,-3.1319892472903232,-5.922715053774194,-8.211962365596774,-10.81075268822581,3052.657017561404,3052.657017561404,1002.4,528.0,11.766706989145167,17.304682539682535,6.2663440860483846,0.36116553,0.218314455
