,Year,State,Ag District,County,yield,price_received,CDSD,CLDD,DP01,DP10,DP1X,DSND,DSNW,DT00,DT32,DX32,DX70,DX90,DYFG,DYTS,EMNT,EMSD,EMSN,EMXP,EMXT,FZF0,FZF1,FZF2,FZF3,FZF4,FZF5,FZF6,FZF7,FZF8,FZF9,HDSD,HTDD,PRCP,SNOW,TAVG,TMAX,TMIN,NDVI,EVI,GPP,SSM_0,SSM_10,SSM_40,SSM_100,NDWI,fips
0,2020,ILLINOIS,CENTRAL,DE WITT,201.6,4.35,589.3621693,589.3621693,114.5,70.0,11.5,14.5,6.0,1.748677249,120.13624340000001,18.98046875,157.17708330000002,21.79296875,10.0,19.0,-19.81521164,95.5,95.5,69.35,34.45807292,-0.763492064,-3.5170634919999997,-5.615873016,-7.593121693,-11.43716931,-1.135978836,-3.150925926,-5.930687831,-8.253306878,-10.85449735,3070.945115,3070.945115,1006.7,411.0,11.71603175,17.24811198,6.222010582,0.317846196,0.191259149,360.6980385,0.300986825,0.316133177,0.269310228,0.37640636299999997,-0.00375058,17039
1,2018,ILLINOIS,CENTRAL,DE WITT,225.0,3.62,750.6817836,750.6817836,122.0,87.0,10.0,26.24019608,8.092105262999999,11.60760234,139.094152,34.89064327,159.2944444,33.72777778,4.0,14.0,-25.20792398,166.5571895,136.94736840000002,62.0,35.71578947,-1.178508772,-3.7481871339999997,-6.610555556,-8.493362572999999,-9.729636364,-1.60622807,-3.11125731,-5.589356725,-8.013333333,-10.91605263,3240.228727,3240.228727,1168.5,588.8442982,11.12481579,16.62657602,5.619666667000001,0.33860870299999996,0.190859447,271.7781228,0.299453554,0.309639532,0.21301716899999998,0.347338561,0.016335084,17039
2,2017,ILLINOIS,CENTRAL,DE WITT,201.1,3.41,570.9926149,570.9926149,100.0,65.0,4.0,13.0,3.0,5.279661017,106.0641243,24.48907104,175.92896169999997,23.55464481,9.0,17.0,-21.44220339,76.0,76.0,44.5,35.50068306,-2.129632768,-3.73519774,-5.885508475,-8.463079096,-10.12048023,-0.826694915,-3.4877118639999996,-7.040338983,-8.876779661,-10.15282486,2658.071215,2658.071215,755.0,237.0,12.23735593,17.99863115,6.404483051000001,0.348319115,0.17436544399999998,490.49676739999995,0.267955989,0.294329864,0.223477972,0.360946915,0.005184099,17039
3,2016,ILLINOIS,CENTRAL,DE WITT,214.5,3.43,703.4309242,703.4309242,116.0,79.0,10.0,26.80833333,5.933695652000001,5.419736842000001,106.2932749,31.90160075,172.11035780000003,24.26770245,9.0,16.0,-21.00660819,120.34166670000002,105.5134058,59.2,34.80592279,-1.1034941520000001,-3.620628655,-5.491739766,-7.74374269,-10.57890351,-0.992704678,-3.16122807,-5.816330409,-8.387207602,-10.79916667,2728.539807,2728.539807,1009.9,409.6130435,12.35156515,17.76184557,6.897934211,0.337707356,0.19872892,370.557139,0.312305861,0.323517612,0.280377023,0.36533994700000005,0.0015332079999999999,17039
4,2015,ILLINOIS,CENTRAL,DE WITT,207.8,3.69,564.0723224,564.0723224,130.0,85.0,10.0,47.35042735,9.140079365,13.60382514,111.88224040000001,36.90591398,165.3051075,15.975,12.0,11.0,-23.86491803,255.8247863,178.86944440000002,68.8,34.45938172,-1.524836066,-3.1832786889999998,-8.245765027000001,-10.64724242,-12.573412699999999,-0.8554918029999999,-3.719262295,-6.771885246,-10.69352459,-14.17489071,3458.4026270000004,3458.4026270000004,1184.9,758.2142857000001,11.27188798,16.92383871,5.650286885,0.306052843,0.183909658,353.1676486,0.309205334,0.346972922,0.280821515,0.352635056,0.007723956999999999,17039
5,2014,ILLINOIS,CENTRAL,DE WITT,221.0,3.71,506.1253495,506.1253495,128.0,78.0,16.0,55.44017094,12.2797619,19.85134409,133.997043,53.71931217,154.3013228,10.45132275,1.0,21.0,-25.98333333,301.1666667,170.23849209999997,55.9,34.10592593,-1.01438172,-3.590725806,-5.286612903,-7.954274194,-9.917634408,-1.140752688,-3.46077957,-7.20516129,-8.78922043,-10.33258065,3703.319944,3703.319944,1183.05,973.8170635,9.582879032000001,15.14631746,4.000884409,0.301372405,0.175872885,322.2652837,0.299817034,0.31419897199999997,0.21293372600000002,0.355147785,0.031986279,17039
6,2012,ILLINOIS,CENTRAL,DE WITT,134.4,6.87,732.1374859,732.1374859,96.0,55.0,7.0,14.31190476,4.6,0.48111111100000004,111.74916670000002,18.11468927,179.350565,51.84067797,5.0,13.0,-15.66638889,105.43333329999999,96.90476190000001,76.2,39.89522599,-0.71525,-2.775222222,-4.970694443999999,-7.527222222000001,-10.26272222,-0.979222222,-3.467472222,-6.862111111,-8.27325,-10.07819444,2564.5478160000002,2564.5478160000002,890.0,327.2333333,12.92110452,19.16842655,6.682430556,0.341433172,0.20196541699999998,341.5698421,0.275905219,0.30117037399999996,0.234491383,0.349099437,-0.010346959000000001,17039
7,2011,ILLINOIS,CENTRAL,DE WITT,177.6,6.25,683.1595556,683.1595556,119.36439709999999,75.75274901,13.24232195,35.37254902,6.860294118,5.926502732,110.93688519999999,32.03169399,157.3762295,37.89262295,4.0,8.0,-22.51696721,346.1348039,279.9019608,70.27703554,37.66778689,-0.773825137,-2.9901912569999998,-5.635136612,-8.472222222000001,-10.83751634,-0.885300546,-3.054071038,-5.825245902000001,-8.765273224,-11.53647541,3218.651479,3218.651479,1184.831068,651.5269607999999,11.68776667,17.24772404,6.215300546,0.325342462,0.171478202,325.093526,0.317681185,0.334079435,0.188709404,0.36468531600000004,0.024434232,17039
8,2010,ILLINOIS,CENTRAL,DE WITT,161.1,5.24,735.7616843,735.7616843,103.0,72.0,8.0,70.0,12.5,8.853298611,119.33854170000001,51.44276094,177.13973059999998,34.99074074,26.13310227,21.27437782,-22.19726563,203.5,108.0,58.4,36.10433502,-1.116796875,-3.345920139,-5.45390625,-7.607465277999999,-10.81059028,-0.7958333329999999,-3.4634982639999996,-5.294661458,-7.441840278,-9.774131944,3088.361285,3088.361285,1011.3,733.5,11.50260582,17.29276936,5.795030382,0.303727139,0.18640206899999998,285.3509208,0.329612922,0.36526885299999995,0.341582417,0.386597521,0.03541981,17039
9,2009,ILLINOIS,CENTRAL,DE WITT,188.0,3.53,426.27476849999994,426.27476849999994,124.21880559999998,81.19214635,15.28207018,29.39810127,8.0,6.284050178999999,114.07885300000001,40.20789931,150.7226563,10.99956597,1.0,18.36343179,-25.54565412,177.3264919,76.0,73.65003212,34.86158854,-0.964695341,-3.232750896,-6.11061828,-8.149327957,-11.71756272,-0.618817204,-2.98687276,-5.840770609,-8.24484767,-10.41500896,3240.804391,3240.804391,1310.4337890000002,351.0,10.71233423,16.12386719,5.28812724,0.320710791,0.190550031,252.1234241,0.328260616,0.369645128,0.303153947,0.370449454,0.021971157,17039
