,Year,State,Ag District,County,yield,price_received,CDSD,CLDD,DP01,DP10,DP1X,DSND,DSNW,DT00,DT32,DX32,DX70,DX90,DYFG,DYTS,EMNT,EMSD,EMSN,EMXP,EMXT,FZF0,FZF1,FZF2,FZF3,FZF4,FZF5,FZF6,FZF7,FZF8,FZF9,HDSD,HTDD,PRCP,SNOW,TAVG,TMAX,TMIN,NDVI,EVI,GPP,SSM_0,SSM_10,SSM_40,SSM_100,NDWI,fips
0,2020,ILLINOIS,CENTRAL,LOGAN,86.9,5.39,549.5,549.5,112.0,71.75,8.0,11.66666667,5.333333333,1.0,122.0,18.0,161.0,25.0,32.0,21.33333333,-21.1,76.0,79.66666667,73.325,34.4,0.0,-2.8,-7.8,-7.8,-9.4,-1.1,-4.4,-4.4,-8.9,-8.9,3070.4,3070.4,950.74,345.6666667,11.64,17.41,5.86,0.316894739,0.184477642,377.9157507,0.299633103,0.30728448,0.268694398,0.378176028,-0.00096896,17107
1,2018,ILLINOIS,CENTRAL,LOGAN,70.9,4.77,660.9,660.9,120.0,78.0,11.66666667,21.0,6.0,12.0,143.0,31.0,167.0,26.0,45.0,29.66666667,-26.1,102.0,100.5,86.53333333,34.4,0.0,-3.3,-6.1,-8.3,-9.4,-2.8,-2.8,-5.6,-7.8,-18.3,3275.4,3275.4,1111.45,439.0,10.9,16.67,5.13,0.313429491,0.189599248,262.8478865,0.30120258,0.30531493600000004,0.209540649,0.3467761,0.007536195999999999,17107
2,2017,ILLINOIS,CENTRAL,LOGAN,58.9,4.59,529.6,529.6,110.2,60.0,6.8,13.33333333,3.333333333,8.0,103.0,25.0,176.0,20.0,28.33333333,31.0,-22.2,85.0,82.0,52.08,34.4,-5.6,-5.6,-5.6,-7.8,-9.4,0.0,-2.2,-4.4,-8.3,-10.0,2655.3,2655.3,812.6,267.3333333,12.05,18.06,6.03,0.34177267100000003,0.182197798,458.21790889999994,0.263107798,0.28805468100000003,0.21903874899999998,0.359776614,0.002410529,17107
3,2012,ILLINOIS,CENTRAL,LOGAN,66.6,7.13,626.2,626.2,95.0,54.0,4.875,11.0,5.0,1.0,120.0,16.0,186.0,48.0,14.0,16.33333333,-17.8,76.0,83.0,55.975,38.9,0.0,-2.2,-6.1,-6.7,-8.9,-3.3,-3.3,-5.6,-9.4,-9.4,2581.9,2581.9,639.1125,280.0,12.58,19.28,5.87,0.345731644,0.19590068800000002,351.11391910000003,0.275625788,0.290974043,0.200154787,0.34912078399999996,-0.019012531000000003,17107
4,2009,ILLINOIS,CENTRAL,LOGAN,73.0,4.04,357.4,357.4,136.0,82.0,16.0,20.0,7.5,7.0,121.0,40.0,149.0,9.0,4.333333333,4.333333333,-26.7,89.0,82.5,67.75,35.0,0.0,-2.2,-5.0,-10.0,-10.0,-1.7,-2.2,-5.6,-6.7,-12.8,3309.5,3309.5,1276.26,497.0,10.33,15.86,4.8,0.327549101,0.191923046,261.3351003,0.331388456,0.363744423,0.276409296,0.35814819999999997,0.022884942000000002,17107
5,2006,ILLINOIS,CENTRAL,LOGAN,79.0,3.4,569.3,569.3,110.66666670000001,70.66666667,9.666666667000001,13.33333333,4.0,2.0,110.0,13.0,160.0,22.0,33.5,25.0,-18.9,76.33333333,80.33333333,67.3,35.6,-0.6,-3.3,-8.3,-8.3,-10.0,-2.2,-2.2,-5.0,-6.7,-8.9,2898.2,2898.2,923.2666667000001,263.0,12.03,17.88,6.17,0.332505058,0.191227265,240.5989392,0.28589104600000004,0.310682765,0.221148173,0.34801599299999997,-0.003119163,17107
6,2004,ILLINOIS,CENTRAL,LOGAN,79.0,3.19,429.1,429.1,111.33333329999999,70.66666667,8.666666667000001,21.33333333,5.666666667,6.0,125.0,32.0,167.0,9.0,38.5,30.5,-25.6,93.33333333,107.0,52.83333333,33.9,-1.1,-2.2,-8.9,-8.9,-8.9,-1.1,-2.2,-7.8,-7.8,-9.4,3086.7,3086.7,993.3666667000001,355.0,10.95,17.05,4.86,0.30196191899999997,0.18116028899999997,252.59974669999997,0.287803792,0.313068547,0.22960236399999998,0.357847414,0.0003802,17107
7,2003,ILLINOIS,CENTRAL,LOGAN,93.0,3.2,432.8,432.8,106.33333329999999,62.0,7.333333333,31.0,10.33333333,5.0,127.0,41.0,166.0,17.0,58.5,32.0,-25.6,101.66666670000001,104.33333329999999,108.46666670000002,37.8,-3.3,-3.3,-4.4,-6.7,-11.1,0.0,-2.2,-4.4,-9.4,-9.4,3407.3,3407.3,919.8666667000001,570.3333332999999,10.45,16.65,4.25,0.291418374,0.167179557,244.2816098,0.28359060399999997,0.287685028,0.174751341,0.36497597600000004,0.001937775,17107
8,2002,ILLINOIS,CENTRAL,LOGAN,73.0,3.01,650.9,650.9,104.33333329999999,70.66666667,12.66666667,11.66666667,3.333333333,2.0,133.0,22.0,155.0,36.0,49.5,36.0,-18.3,152.33333330000002,157.33333330000002,100.16666670000001,36.1,-3.3,-3.3,-4.4,-6.7,-8.9,-5.0,-5.0,-5.0,-6.7,-9.4,2933.9,2933.9,1139.166667,364.3333333,11.33,17.39,5.27,0.297937645,0.183827932,325.29332939999995,0.279755675,0.31254182399999997,0.243454908,0.365570961,-0.01387267,17107
9,2001,ILLINOIS,CENTRAL,LOGAN,77.0,2.49,538.4,538.4,116.66666670000001,72.33333333,8.0,23.0,3.333333333,4.0,117.0,24.0,168.0,27.0,44.0,34.5,-20.0,178.0,75.66666667,54.93333333,35.6,0.0,-3.3,-6.7,-6.7,-10.6,-2.2,-2.2,-7.2,-7.2,-9.4,3310.2,3310.2,900.3333332999998,229.66666669999998,11.43,17.64,5.21,0.304118423,0.175461952,224.3314232,0.298153736,0.300834677,0.19848794399999997,0.331648577,-0.000477791,17107
