County,Year,GPP
UNION,2000,577.0922925
UNION,2001,555.5187729
UNION,2002,698.2436467
UNION,2003,652.2541362
UNION,2004,545.9442168
UNION,2005,761.7173307
UNION,2006,578.3986223
UNION,2007,555.826261
UNION,2008,609.7455024
UNION,2009,664.7823169
UNION,2010,624.7450656
UNION,2011,690.6807663
UNION,2012,523.4261431
UNION,2013,697.3278927
UNION,2014,555.5255881
UNION,2015,738.3625355
UNION,2016,742.8474008
UNION,2017,666.8622998
UNION,2018,499.2481077
UNION,2019,719.7092561
UNION,2020,758.0627795
MCDONOUGH,2000,302.1903217
MCDONOUGH,2001,298.4620136
MCDONOUGH,2002,316.2441868
MCDONOUGH,2003,355.3652106
MCDONOUGH,2004,328.5788696
MCDONOUGH,2005,385.8481482
MCDONOUGH,2006,276.6339466
MCDONOUGH,2007,322.6780459
MCDONOUGH,2008,303.0057157
MCDONOUGH,2009,308.7311564
MCDONOUGH,2010,395.0131389
MCDONOUGH,2011,350.9221205
MCDONOUGH,2012,376.8201007
MCDONOUGH,2013,380.1065396
MCDONOUGH,2014,386.7274795
MCDONOUGH,2015,414.2120882
MCDONOUGH,2016,441.9215051
MCDONOUGH,2017,462.3280619
MCDONOUGH,2018,325.7486791
MCDONOUGH,2019,502.2063177
MCDONOUGH,2020,441.3962953
WINNEBAGO,2000,293.8103874
WINNEBAGO,2001,361.944526
WINNEBAGO,2002,377.8122344
WINNEBAGO,2003,256.3760112
WINNEBAGO,2004,374.5046229
WINNEBAGO,2005,418.6191566
WINNEBAGO,2006,345.9931804
WINNEBAGO,2007,322.6964627
WINNEBAGO,2008,307.7482413
WINNEBAGO,2009,247.9356869
WINNEBAGO,2010,339.8424549
WINNEBAGO,2011,276.6406392
WINNEBAGO,2012,409.6735343
WINNEBAGO,2013,234.4706454
WINNEBAGO,2014,294.7035161
WINNEBAGO,2015,410.0498939
WINNEBAGO,2016,402.1630322
WINNEBAGO,2017,464.467789
WINNEBAGO,2018,222.301636
WINNEBAGO,2019,390.0814312
WINNEBAGO,2020,389.0539859
MARSHALL,2000,274.6343825
MARSHALL,2001,276.0965115
MARSHALL,2002,310.3742025
MARSHALL,2003,281.8142062
MARSHALL,2004,309.3667312
MARSHALL,2005,338.9872332
MARSHALL,2006,282.9701157
MARSHALL,2007,279.7735048
MARSHALL,2008,284.9415762
MARSHALL,2009,238.7740717
MARSHALL,2010,292.9892291
MARSHALL,2011,293.219363
MARSHALL,2012,385.019337
MARSHALL,2013,299.3521595
MARSHALL,2014,323.015691
MARSHALL,2015,421.9340829
MARSHALL,2016,377.374328
MARSHALL,2017,462.3382356
MARSHALL,2018,252.2529035
MARSHALL,2019,430.8730291
MARSHALL,2020,388.3537568
JERSEY,2000,455.5445608
JERSEY,2001,413.0982585
JERSEY,2002,548.5901406
JERSEY,2003,506.2212154
JERSEY,2004,458.7464074
JERSEY,2005,579.7894391
JERSEY,2006,396.0096346
JERSEY,2007,460.2960898
JERSEY,2008,522.1462898
JERSEY,2009,524.0876452
JERSEY,2010,480.8273091
JERSEY,2011,512.7175866
JERSEY,2012,491.6771606
JERSEY,2013,589.6218346
JERSEY,2014,548.3764239
JERSEY,2015,599.5616633
JERSEY,2016,619.4549324
JERSEY,2017,581.0867597
JERSEY,2018,456.9006173
JERSEY,2019,620.8155905
JERSEY,2020,600.4867901
BUREAU,2000,280.3967075
BUREAU,2001,270.615424
BUREAU,2002,318.5006021
BUREAU,2003,240.6369407
BUREAU,2004,328.6029219
BUREAU,2005,338.5203747
BUREAU,2006,288.2880506
BUREAU,2007,270.0940738
BUREAU,2008,273.5820446
BUREAU,2009,219.6932156
BUREAU,2010,283.6443364
BUREAU,2011,270.2901306
BUREAU,2012,357.4265645
BUREAU,2013,252.1544269
BUREAU,2014,295.3453283
BUREAU,2015,429.7317794
BUREAU,2016,360.6511832
BUREAU,2017,473.7673522
BUREAU,2018,241.9782044
BUREAU,2019,402.2433362
BUREAU,2020,379.8035452
PUTNAM,2000,297.7801521
