County,Year,NDWI
UNION,2000,0.02259125
MCDONOUGH,2000,0.009369182
WINNEBAGO,2000,0.016177508
MARSHALL,2000,0.015454065
JERSEY,2000,0.01190199
BUREAU,2000,0.021503736
PUTNAM,2000,0.023477098
MASON,2000,0.009278463
OGLE,2000,0.014667804
DU PAGE,2000,0.024453026
LAKE,2000,0.019020581
CASS,2000,0.002020777
LAWRENCE,2000,0.014380215
CHAMPAIGN,2000,0.015504865
FORD,2000,0.004081506
SCOTT,2000,0.008627698
ALEXANDER,2000,0.020983553
CLARK,2000,0.024030025
ROCK ISLAND,2000,0.021602962
HARDIN,2000,0.030865467
CALHOUN,2000,0.030426099
JACKSON,2000,0.022143618
BOND,2000,0.017996822
CRAWFORD,2000,0.017557356
FRANKLIN,2000,0.019046593
PIATT,2000,0.007944808
ST CLAIR,2000,0.010876139
HAMILTON,2000,0.012752286
CUMBERLAND,2000,0.021653185
ADAMS,2000,0.013848146
DE WITT,2000,0.00880714
JO DAVIESS,2000,0.023638742
VERMILION,2000,0.013406432
EFFINGHAM,2000,0.018436729
COOK,2000,0.020011767
PIKE,2000,0.012865269
MARION,2000,0.016613771
KNOX,2000,0.018056066
MCHENRY,2000,0.018329528
HENDERSON,2000,0.010266392
HENRY,2000,0.018586234
GREENE,2000,0.005112524
SALINE,2000,0.013334558
WHITESIDE,2000,0.015756874
DE KALB,2000,0.021381264
WHITE,2000,0.01089447
LIVINGSTON,2000,0.008019521
WOODFORD,2000,0.012419898
MERCER,2000,0.01647682
MACON,2000,0.008080009
KENDALL,2000,0.018149705
CLINTON,2000,0.019119155
GRUNDY,2000,0.019046438
PERRY,2000,0.012102218
JASPER,2000,0.018195808
EDGAR,2000,0.013064068
COLES,2000,0.015673376
GALLATIN,2000,0.012325228
DOUGLAS,2000,0.011428254
RANDOLPH,2000,0.016136394
CHRISTIAN,2000,0.006005914
WILL,2000,0.020263593
MACOUPIN,2000,-0.000328349
JEFFERSON,2000,0.01785118
POPE,2000,0.028297854
STARK,2000,0.021228711
SCHUYLER,2000,0.014714383
STEPHENSON,2000,0.016680379
LOGAN,2000,0.007992072
LEE,2000,0.018576698
FAYETTE,2000,0.02183894
LA SALLE,2000,0.016404733
PEORIA,2000,0.01758682
RICHLAND,2000,0.009214146
WILLIAMSON,2000,0.022214159
IROQUOIS,2000,0.012496157
KANE,2000,0.021133242
SHELBY,2000,0.018255363
MONROE,2000,0.016999295
CARROLL,2000,0.017897698
CLAY,2000,0.013346315
MASSAC,2000,0.013125868
JOHNSON,2000,0.020732713
BROWN,2000,0.0169762
KANKAKEE,2000,0.023437106
SANGAMON,2000,0.01083085
BOONE,2000,0.019189348
MORGAN,2000,0.00950125
EDWARDS,2000,0.012269
WABASH,2000,0.009652784
WAYNE,2000,0.017199766
FULTON,2000,0.016010068
WASHINGTON,2000,0.016845355
MOULTRIE,2000,0.018097357
TAZEWELL,2000,0.009954646
WARREN,2000,0.008182676
PULASKI,2000,0.013178044
MADISON,2000,0.017339431
MONTGOMERY,2000,0.003077142
MENARD,2000,0.0038897
HANCOCK,2000,0.008021906
MCLEAN,2000,0.007030444
UNION,2001,0.020228786
MCDONOUGH,2001,-0.002578053
WINNEBAGO,2001,0.026467246
MARSHALL,2001,0.012100715
JERSEY,2001,0.002806169
BUREAU,2001,0.02145905
PUTNAM,2001,0.018082445
MASON,2001,-8.85E-05
OGLE,2001,0.029777261
DU PAGE,2001,0.018979277
LAKE,2001,0.01078668
CASS,2001,-0.012272684
LAWRENCE,2001,-0.006501752
CHAMPAIGN,2001,-0.004085569
FORD,2001,0.012905199
SCOTT,2001,-0.015860726
ALEXANDER,2001,0.018416756
CLARK,2001,0.003687522
ROCK ISLAND,2001,0.027098372
HARDIN,2001,0.015573107
CALHOUN,2001,0.021146468
JACKSON,2001,0.016307351
BOND,2001,-0.001085386
CRAWFORD,2001,-0.005141693
FRANKLIN,2001,0.002501706
PIATT,2001,-0.015126293
ST CLAIR,2001,0.004036873
HAMILTON,2001,-0.004208513
CUMBERLAND,2001,-0.000975073
ADAMS,2001,0.009768472
DE WITT,2001,0.00530321
JO DAVIESS,2001,0.029828242
VERMILION,2001,0.004666259
EFFINGHAM,2001,-0.000161407
COOK,2001,0.013545713
PIKE,2001,0.001409914
MARION,2001,0.002271631
KNOX,2001,0.010032482
MCHENRY,2001,0.032454755
HENDERSON,2001,0.018430469
HENRY,2001,0.023896053
GREENE,2001,-0.008892616
SALINE,2001,-0.004214684
WHITESIDE,2001,0.025398692
DE KALB,2001,0.028611713
WHITE,2001,-0.00598367
LIVINGSTON,2001,0.009973448
WOODFORD,2001,0.011970592
MERCER,2001,0.020746732
MACON,2001,-0.015064854
KENDALL,2001,0.023374129
CLINTON,2001,0.0055429
GRUNDY,2001,0.011828745
PERRY,2001,0.003765966
JASPER,2001,-0.005764168
EDGAR,2001,-0.006749802
COLES,2001,-0.00703956
GALLATIN,2001,-0.008708241
DOUGLAS,2001,-0.020654575
RANDOLPH,2001,0.012766709
CHRISTIAN,2001,-0.020198888
WILL,2001,0.022400972
MACOUPIN,2001,-0.014145003
JEFFERSON,2001,0.005108483
POPE,2001,0.016684767
STARK,2001,0.004998662
SCHUYLER,2001,0.014458834
STEPHENSON,2001,0.032531439
LOGAN,2001,-0.000477791
LEE,2001,0.030879074
FAYETTE,2001,-9.36E-05
LA SALLE,2001,0.016950247
PEORIA,2001,0.012125129
RICHLAND,2001,-0.013599007
WILLIAMSON,2001,0.013399507
IROQUOIS,2001,0.015494986
KANE,2001,0.025842219
SHELBY,2001,-0.011094584
MONROE,2001,0.007736675
CARROLL,2001,0.037865142
CLAY,2001,-0.006824843
MASSAC,2001,0.00694453
JOHNSON,2001,0.017703604
BROWN,2001,0.012633612
KANKAKEE,2001,0.021960739
SANGAMON,2001,-0.016562412
BOONE,2001,0.037985258
MORGAN,2001,-0.018259912
EDWARDS,2001,-0.012794915
WABASH,2001,-0.018886895
WAYNE,2001,-0.015156023
FULTON,2001,0.011490746
WASHINGTON,2001,0.007284465
MOULTRIE,2001,-0.022339054
TAZEWELL,2001,0.013275222
WARREN,2001,0.00802592
PULASKI,2001,0.010878857
MADISON,2001,0.00244773
MONTGOMERY,2001,-0.011890353
MENARD,2001,-0.005966906
HANCOCK,2001,0.013335063
MCLEAN,2001,0.007404215
UNION,2002,0.013147595
MCDONOUGH,2002,0.000851036
WINNEBAGO,2002,0.022748952
MARSHALL,2002,0.019935874
JERSEY,2002,0.004491907
BUREAU,2002,0.018574667
PUTNAM,2002,0.025818983
MASON,2002,-0.008685713
OGLE,2002,0.017809924
DU PAGE,2002,0.018455808
LAKE,2002,0.001617226
CASS,2002,-0.006241705
LAWRENCE,2002,-0.003297627
CHAMPAIGN,2002,-0.013447978
FORD,2002,-0.009620622
SCOTT,2002,-0.000648936
ALEXANDER,2002,0.021424249
CLARK,2002,-0.000682051
ROCK ISLAND,2002,0.018049845
HARDIN,2002,0.017239831
CALHOUN,2002,0.021770049
JACKSON,2002,0.00805962
BOND,2002,0.002421127
CRAWFORD,2002,-0.006213944
FRANKLIN,2002,0.005075345
PIATT,2002,-0.015546688
ST CLAIR,2002,0.005444143
HAMILTON,2002,-0.001735423
CUMBERLAND,2002,-0.004269926
ADAMS,2002,-0.001105748
DE WITT,2002,-0.007396443
JO DAVIESS,2002,0.024799265
VERMILION,2002,-0.012541633
EFFINGHAM,2002,-0.000784349
COOK,2002,0.005706962
PIKE,2002,0.003680096
MARION,2002,-0.000537102
KNOX,2002,0.010596484
MCHENRY,2002,0.022260055
HENDERSON,2002,0.003968194
HENRY,2002,0.013257883
GREENE,2002,-0.005739229
SALINE,2002,-0.000238144
WHITESIDE,2002,0.011734209
DE KALB,2002,0.02311743
WHITE,2002,-0.001116172
LIVINGSTON,2002,0.005606417
WOODFORD,2002,0.014471235
MERCER,2002,0.006118344
MACON,2002,-0.012127668
KENDALL,2002,0.01873128
CLINTON,2002,0.013839869
GRUNDY,2002,0.017302892
PERRY,2002,-0.002193781
JASPER,2002,-0.005121271
EDGAR,2002,-0.010510015
COLES,2002,-0.012533522
GALLATIN,2002,0.003594309
DOUGLAS,2002,-0.019196161
RANDOLPH,2002,0.005803166
CHRISTIAN,2002,-0.009253232
WILL,2002,0.010633322
MACOUPIN,2002,-0.005616244
JEFFERSON,2002,0.003612227
POPE,2002,0.015689231
STARK,2002,0.017211134
SCHUYLER,2002,0.006839384
STEPHENSON,2002,0.021817176
LOGAN,2002,-0.01387267
LEE,2002,0.018513713
FAYETTE,2002,0.001138485
LA SALLE,2002,0.018743057
PEORIA,2002,0.016528932
RICHLAND,2002,-0.005580006
WILLIAMSON,2002,0.006366589
IROQUOIS,2002,-0.011436186
