County,Year,SSM_0,SSM_10,SSM_40,SSM_100
UNION,2000,0.312673383,0.308534529,0.273703217,0.315889593
UNION,2001,0.29017912,0.292459717,0.262190844,0.313568713
UNION,2002,0.338569204,0.352264254,0.331733272,0.3783717
UNION,2003,0.323788585,0.344026611,0.320626315,0.365716485
UNION,2004,0.323494521,0.335821735,0.296599007,0.329643559
UNION,2005,0.310431007,0.317491146,0.269048886,0.345053091
UNION,2006,0.342456499,0.349599051,0.315679799,0.338866964
UNION,2007,0.320066267,0.324268478,0.285673216,0.353088743
UNION,2008,0.345308157,0.346840251,0.308188203,0.363376308
UNION,2009,0.338388582,0.345831329,0.314657645,0.352512819
UNION,2010,0.332550179,0.337385229,0.285286863,0.359491317
UNION,2011,0.347715882,0.36781742,0.307228856,0.351997717
UNION,2012,0.301538401,0.301442419,0.227904228,0.337037787
UNION,2013,0.347650325,0.348744337,0.308165822,0.33444375
UNION,2014,0.327897997,0.346496144,0.338336695,0.362472932
UNION,2015,0.338314096,0.362972205,0.341743421,0.3557581
UNION,2016,0.354034433,0.356165905,0.345248551,0.37971869
UNION,2017,0.31723004,0.328997709,0.297820978,0.357869538
UNION,2018,0.348995337,0.357242933,0.309731206,0.347762299
UNION,2019,0.384969512,0.390109417,0.389233299,0.395005208
UNION,2020,0.330040525,0.338239605,0.330946011,0.379079067
MCDONOUGH,2000,0.264520517,0.270461987,0.167920045,0.339183185
MCDONOUGH,2001,0.307126668,0.312998448,0.197668675,0.332875449
MCDONOUGH,2002,0.276420143,0.308145552,0.223559029,0.341262728
MCDONOUGH,2003,0.284810291,0.296326178,0.158450979,0.341172221
MCDONOUGH,2004,0.279228848,0.295076549,0.24834814,0.336705106
MCDONOUGH,2005,0.273398643,0.27942221,0.179122206,0.35164927
MCDONOUGH,2006,0.270969654,0.2657223,0.169395696,0.349977389
MCDONOUGH,2007,0.263741493,0.244265549,0.179163672,0.343986272
MCDONOUGH,2008,0.308433741,0.30658817,0.221403708,0.339935173
MCDONOUGH,2009,0.335686224,0.370740855,0.30605286,0.367872256
MCDONOUGH,2010,0.346631696,0.368404714,0.363272038,0.377643759
MCDONOUGH,2011,0.322128643,0.328079561,0.263722605,0.355777785
MCDONOUGH,2012,0.274466668,0.286703484,0.181360035,0.34873006
MCDONOUGH,2013,0.323037055,0.322935738,0.18474814,0.369557762
MCDONOUGH,2014,0.297506961,0.305405723,0.191908718,0.369252926
MCDONOUGH,2015,0.310143869,0.314617146,0.249569759,0.364817044
MCDONOUGH,2016,0.294513022,0.287632512,0.222962506,0.350740446
MCDONOUGH,2017,0.265808878,0.28940438,0.186797773,0.345079264
MCDONOUGH,2018,0.29576513,0.298311139,0.232940883,0.341154194
MCDONOUGH,2019,0.333540426,0.35178375,0.32265211,0.376038625
MCDONOUGH,2020,0.300455862,0.306675876,0.249762237,0.354828765
WINNEBAGO,2000,0.290978445,0.304593071,0.220940119,0.344104658
WINNEBAGO,2001,0.318444676,0.318926572,0.257747923,0.337917218
WINNEBAGO,2002,0.294517578,0.319410354,0.269611518,0.347463404
WINNEBAGO,2003,0.265027622,0.29680121,0.195983682,0.347499642
