County,Year,NDVI,EVI
UNION,2000,0.639517748,0.372822847
UNION,2001,0.543591463,0.339535202
UNION,2002,0.674374817,0.381437705
UNION,2003,0.639214283,0.351928158
UNION,2004,0.549028809,0.329890006
UNION,2005,0.655026215,0.382064734
UNION,2006,0.607018399,0.339723925
UNION,2007,0.60577281,0.337414538
UNION,2008,0.574946,0.339558729
UNION,2009,0.562461855,0.341128627
UNION,2010,0.585391387,0.361118046
UNION,2011,0.57711317,0.332257467
UNION,2012,0.698986329,0.432962738
UNION,2013,0.627132383,0.378128276
UNION,2014,0.578716773,0.334795964
UNION,2015,0.582826655,0.319518731
UNION,2016,0.638947645,0.330194386
UNION,2017,0.66093252,0.376800663
UNION,2018,0.57165169,0.352807041
UNION,2019,0.627267007,0.375915589
UNION,2020,0.596841951,0.337248305
MCDONOUGH,2000,0.38270814,0.224580992
MCDONOUGH,2001,0.368295694,0.206976846
MCDONOUGH,2002,0.377773061,0.226915173
MCDONOUGH,2003,0.373915721,0.204218772
MCDONOUGH,2004,0.370538062,0.23171978
MCDONOUGH,2005,0.394710641,0.225252776
MCDONOUGH,2006,0.343707641,0.215713503
MCDONOUGH,2007,0.365540914,0.221853295
MCDONOUGH,2008,0.371272664,0.211444867
MCDONOUGH,2009,0.411891711,0.246290051
MCDONOUGH,2010,0.359635547,0.235829091
MCDONOUGH,2011,0.383269587,0.206478597
MCDONOUGH,2012,0.403398433,0.244249237
MCDONOUGH,2013,0.400000113,0.22953423
MCDONOUGH,2014,0.345299869,0.201270097
MCDONOUGH,2015,0.354153469,0.214846351
MCDONOUGH,2016,0.385790828,0.242508365
MCDONOUGH,2017,0.42025868,0.221518364
MCDONOUGH,2018,0.381172233,0.230298139
MCDONOUGH,2019,0.412848786,0.250325926
MCDONOUGH,2020,0.379285906,0.218853809
WINNEBAGO,2000,0.446123373,0.266818762
WINNEBAGO,2001,0.419477151,0.240722083
WINNEBAGO,2002,0.442127649,0.267545537
WINNEBAGO,2003,0.399096027,0.232450325
WINNEBAGO,2004,0.433732238,0.240644253
WINNEBAGO,2005,0.447314503,0.255698074
WINNEBAGO,2006,0.429814348,0.232530261
WINNEBAGO,2007,0.43573293,0.247638383
WINNEBAGO,2008,0.3988005,0.244134951
WINNEBAGO,2009,0.381430285,0.22585587
WINNEBAGO,2010,0.406630204,0.257260958
WINNEBAGO,2011,0.405931625,0.249420158
WINNEBAGO,2012,0.442178954,0.273253142
WINNEBAGO,2013,0.426743165,0.271779168
WINNEBAGO,2014,0.385695592,0.232427365
WINNEBAGO,2015,0.394027225,0.252518114
WINNEBAGO,2016,0.457566074,0.264893954
WINNEBAGO,2017,0.436337012,0.23387054
WINNEBAGO,2018,0.386160978,0.239034172
WINNEBAGO,2019,0.426401255,0.24069803
WINNEBAGO,2020,0.413425663,0.262547139
MARSHALL,2000,0.354875595,0.200152686
MARSHALL,2001,0.320889909,0.179650844
MARSHALL,2002,0.343323082,0.202315965
MARSHALL,2003,0.315034916,0.182256991
