AWND,CDSD,CLDD,DP01,DP10,DP1X,DSND,DSNW,DT00,DT32,DX32,DX70,DX90,DYFG,DYHF,DYTS,EMNT,EMSD,EMSN,EMXP,EMXT,EVAP,FZF0,FZF1,FZF2,FZF3,FZF4,FZF5,FZF6,FZF7,FZF8,FZF9,HDSD,HN01,HN02,HTDD,HX01,HX02,LN01,LN02,LX01,LX02,MN01,MN02,MX01,MX02,PRCP,SNOW,TAVG,TMAX,TMIN,WDF2,WDF5,WDFG,WDMV,WSF2,WSF5,WSFG,county,date,year
,637.8,637.8,99,63,6,,,8.5,115.5,38,170.5,17.5,78,20,27,-21.1,,,46.25,36.7,,-0.55,-3.05,-5.85,-7.25,-10,-0.85,-2.2,-6.95,-9.15,-9.15,2630.9,,,2630.9,,,,,,,,,,,805.75,,11.68,16.905,6.46,,,,,,,,Adams County,2000-01-01T00:00:00,2000
,858.8,858.8,,,,,1,0,86,26,200,44,11,,2,-15,,25,,37.2,,0,-3.3,-6.7,-6.7,-10,0,-3.9,-6.7,-6.7,-11.1,1987.2,,,1987.2,,,,,,,,,,,,41,14.09,19.84,8.35,,,,,,,,Alexander County,2000-01-01T00:00:00,2000
,,,76,68,12,,2,,,,,,3,,25,,,102,80,,,,,,,,,,,,,,,,,,,,,,,,,,,1079.4,191,,,,,,,,,,,Bond County,2000-01-01T00:00:00,2000
,,,125,81,10,67,20,,,,,,1,,,,381,165,111,,,,,,,,,,,,,,,,,,,,,,,,,,,1210.4,1532,,,,,,,,,,,Boone County,2000-01-01T00:00:00,2000
,,,,,,24,7,,,,,,3,,21,,203,102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,440,,,,,,,,,,,Brown County,2000-01-01T00:00:00,2000
,449.7,449.7,104.25,67.25,8.75,49.33333333,11,18,127,58,164,7,20.33333333,,25.66666667,-26.66666667,423.3333333,218.5,45.425,35.96666667,,-2.4,-2.4,-6.3,-7.566666667,-11.1,-1.333333333,-3.133333333,-5,-7.4,-9.4,3143.1,23.9,,3143.1,24.4,26.7,-2.2,,-2.2,-1.1,9.4,,10.8,12.4,890.125,1145.5,9.836666667,15.40666667,4.266666667,,,,,,,,Bureau County,2000-01-01T00:00:00,2000
,392.2,392.2,105.5,65.5,13,69,15.5,19,139,46,165,4,12,,29,-30,406,139.5,70.7,35.6,,-3.3,-3.3,-5,-7.2,-13.3,-1.1,-6.1,-6.1,-7.8,-12.2,3379,,,3379,,,,,,,,,,,1010.9,1196,9.32,15.62,3.01,,,,,,,,Carroll County,2000-01-01T00:00:00,2000
,,,100.5,68,5.5,38,9,,,,,,27,,40,,203,157,87.25,,,,,,,,,,,,,,,,,,,,,,,,,,,843.75,575,,,,,,,,,,,Cass County,2000-01-01T00:00:00,2000
4.7,497.3,497.3,112,63.2,7.4,43,8.25,13,124,45.66666667,174.6666667,15.33333333,18.25,,13.25,-22.76666667,229,143.5,56.04,36.13333333,,-0.766666667,-3.166666667,-5.166666667,-7.566666667,-11.13333333,-1.466666667,-4.066666667,-5.733333333,-9.633333333,-11.13333333,2924.35,,,2924.35,,,,,,,,,,,827.96,608,10.50666667,16.66333333,4.343333333,210,210,,,51.4,51.4,,Champaign County,2000-01-01T00:00:00,2000
,493.4,493.4,124,72.5,9.5,32,7.5,8,125,44,178,10,4.5,,2,-21.1,178,159,106.3,35,,-2.2,-2.2,-6.1,-7.8,-11.1,-0.6,-3.3,-5.6,-6.7,-8.9,2691.6,,,2691.6,,,,,,,,,,,1078.05,510.5,11.1,16.83,5.37,,,,,,,,Christian County,2000-01-01T00:00:00,2000
,,,102,74,19,36,10,,,,,,,,,,229,178,163.3,,,,,,,,,,,,,,,,,,,,,,,,,,,1467.4,659,,,,,,,,,,,Clark County,2000-01-01T00:00:00,2000
,667.9,667.9,91.33333333,69.33333333,16.66666667,30,5,6,113,30,188,14,18,,60,-22.2,203,188.6666667,78,36.1,,-1.1,-2.2,-4.4,-7.8,-10,-0.6,-2.8,-13.3,-13.3,-13.3,2292.9,,,2292.9,,,,,,,,,,,1282.666667,510.3333333,12.8,18.65,6.95,,,,,,,,Clay County,2000-01-01T00:00:00,2000
,615.6,615.6,110,75,14,,2,5,108,33,171,12,,,,-20,,229,108.35,36.7,,-1.7,-2.2,-7.2,-7.2,-10,0,-3.3,-8.9,-8.9,-8.9,2402.3,,,2402.3,,,,,,,,,,,1331.85,272,12.12,17.43,6.81,,,,,,,,Clinton County,2000-01-01T00:00:00,2000
,584.2,584.2,109.5,66.5,14.5,40,9.5,5.5,109,37,176.5,12.5,12,,30,-21.1,203,159,85.95,35.85,,-0.85,-2.5,-5.8,-6.95,-10,-0.3,-2.2,-10.55,-10.55,-10.55,2492.4,,,2492.4,,,,,,,,,,,1091.3,683,11.855,17.265,6.45,,,,,,,,Coles County,2000-01-01T00:00:00,2000
4.133333333,421.175,421.175,129.8888889,72.33333333,8.555555556,63.33333333,15.5,12.375,124.625,52.375,146.875,7.25,71.16666667,18,23.5,-23.2875,440.3333333,239.625,70.23333333,34.075,,-1.4,-3.0375,-5.35,-7.375,-9.5875,-0.625,-2.8625,-5.425,-7.45,-9.375,3126.042857,25.6,23.3,3126.042857,28.3,25.6,-1.7,-1.7,-0.6,0,10.1,10.5,13.4,12.1,927.3333333,1396.875,9.8975,15.1325,4.66375,263.3333333,263.3333333,,,21.76666667,30.43333333,,Cook County,2000-01-01T00:00:00,2000
,702.6,702.6,104.5,73.5,16.5,,9,10,126,29,197,28,14,,9,-23.3,,158.5,111.4,35,,-1.7,-3.9,-6.7,-6.7,-10,0,-3.3,-6.7,-6.7,-8.9,2346.4,,,2346.4,,,,,,,,,,,1387.5,711,12.78,19.42,6.15,,,,,,,,Crawford County,2000-01-01T00:00:00,2000
,,,101.5,70.5,16.5,34.5,10,,,,,,,,,,229,178,135.65,,,,,,,,,,,,,,,,,,,,,,,,,,,1344.55,657,,,,,,,,,,,Cumberland County,2000-01-01T00:00:00,2000
,,,110,73,9,58,14,,,,,,43,,40,,457,180.5,81.8,,,,,,,,,,,,,3458.5,,,3458.5,,,,,,,,,,,974.35,1220.5,,,,,,,,,,,DeKalb County,2000-01-01T00:00:00,2000
,,,94,64,7.5,,9,,,,,,4,,,,,203,53.85,,,,,,,,,,,,,,,,,,,,,,,,,,,843.95,780,,,,,,,,,,,De Witt County,2000-01-01T00:00:00,2000
,,,102,67,9,,8,,,,,,12,,14,,,114,65.8,,,,,,,,,,,,,,,,,,,,,,,,,,,959.3,609,,,,,,,,,,,Douglas County,2000-01-01T00:00:00,2000
4.2,435.7666667,435.7666667,123,67.33333333,10,55,14.5,14.33333333,126.6666667,49.66666667,155.3333333,9,95.5,18,34,-24.06666667,533,268,55.36666667,34.26666667,,-1.1,-2.2,-6.1,-7.233333333,-10.4,-0.2,-3.7,-5.366666667,-7.6,-10.4,3122.766667,,,3122.766667,,,,,,,,,,,883.5,1504.5,10.06333333,15.77666667,4.343333333,260,260,,,17.4,23.95,,DuPage County,2000-01-01T00:00:00,2000
,,,106,70,11,39,10,,,,,,18,,38,,305,203,85.1,,,,,,,,,,,,,2708.7,,,2708.7,,,,,,,,,,,1061,920,,,,,,,,,,,Edgar County,2000-01-01T00:00:00,2000
,,,,,,,6,,,,,,,,,,,178,,,,,,,,,,,,,,,,,,,,,,,,,,,,,608,,,,,,,,,,,Edwards County,2000-01-01T00:00:00,2000
,580.4,580.4,110,78,14,31,8.5,10,124,41,170,19,29,,55,-22.2,152,161.5,120.7,35.6,,-0.6,-2.2,-4.4,-8.3,-8.9,0,-3.3,-11.7,-11.7,-11.7,2703.2,,,2703.2,,,,,,,,,,,1355.65,606,11.46,17.24,5.68,,,,,,,,Effingham County,2000-01-01T00:00:00,2000
,572.85,572.85,111.6666667,78.33333333,14.66666667,33.5,9.666666667,8,122,38,177.6666667,15.33333333,45,,44,-20.85,203.5,202.3333333,64.16666667,35.93333333,,-1.15,-3.3,-5.55,-7.25,-9.45,-0.85,-2.5,-9.15,-9.15,-9.15,2634.55,27.8,27.2,2634.55,28.9,27.8,0.6,0.6,1.7,1.1,14,13.4,15.1,14.4,1220.466667,722.6666667,11.505,17.44666667,5.83,,,,,,,,Fayette County,2000-01-01T00:00:00,2000
